Team,Rank,QB,Rank,RB,Rank,WR,Rank,TE,Rank,K,Rank,DST
Arizona Cardinals,14,19.7,11,19.5,19,22.5,29,6.2,16,7.9,21,4.7
Atlanta Falcons,1,23.5,29,15,3,28,3,10.1,19,7.7,24,4.5
Baltimore Ravens,19,18.6,22,16.9,27,20.8,21,7.3,32,5.1,22,4.6
Buffalo Bills,16,19.3,15,18.5,29,20,8,9.1,24,7,27,3.3
Carolina Panthers,17,19,9,19.7,25,21.7,11,8.5,10,8.9,18,5.1
Chicago Bears,27,17.4,24,16.4,28,20.8,5,9.8,12,8.3,15,6.4
Cincinnati Bengals,20,18.5,10,19.6,17,23.1,6,9.8,6,10.1,7,8.3
Cleveland Browns,7,20.5,25,16.4,9,25.5,4,9.8,25,6.9,20,5
Dallas Cowboys,12,19.8,8,21,2,28.7,17,7.7,11,8.3,8,7.6
Denver Broncos,10,20.2,16,18.3,21,22.3,24,7.1,1,11.3,2,9.2
Detroit Lions,2,23.4,2,26.7,1,29.1,14,8.1,26,6.9,12,7.2
Green Bay Packers,29,17.1,5,21.5,26,21.1,27,6.3,23,7,32,2.2
Houston Texans,11,19.8,1,26.7,7,26.5,16,7.7,14,8.1,16,6.2
Indianapolis Colts,22,18,21,17,15,23.6,28,6.2,21,7.3,25,4.2
Jacksonville Jaguars,3,23.1,3,23.2,10,25.4,2,10.5,4,10.2,9,7.5
Kansas City Chiefs,15,19.5,14,18.9,31,19.7,9,8.8,28,6.7,29,3
Las Vegas Raiders,9,20.5,4,23.2,12,24.6,19,7.6,8,9.2,17,5.6
Los Angeles Chargers,8,20.5,19,17.5,24,21.9,7,9.2,7,9.4,13,6.9
Los Angeles Rams,32,14.5,30,14.9,32,16.5,20,7.4,22,7.1,14,6.6
Miami Dolphins,24,17.5,23,16.8,14,23.7,26,6.4,31,5.9,19,5
Minnesota Vikings,21,18.4,6,21.3,5,27.1,18,7.7,2,10.9,10,7.2
New England Patriots,23,17.7,12,19.1,22,22.1,30,5.7,20,7.5,11,7.2
New Orleans Saints,25,17.5,31,14.3,16,23.3,10,8.6,17,7.9,30,2.9
New York Giants,28,17.1,13,19.1,23,21.9,25,7.1,15,8.1,3,8.9
New York Jets,5,21.6,18,17.7,13,24.6,1,12.2,3,10.5,1,9.4
Philadelphia Eagles,13,19.7,20,17.3,6,26.8,13,8.5,9,8.9,4,8.9
Pittsburgh Steelers,31,15.2,28,15.2,18,22.5,32,4.7,30,6.5,28,3.3
San Francisco 49ers,26,17.4,26,15.5,20,22.5,31,4.8,5,10.1,5,8.7
Seattle Seahawks,6,21.1,17,17.9,8,26.2,23,7.2,13,8.2,23,4.6
Tampa Bay Buccaneers,18,18.9,32,13.7,11,24.6,12,8.5,27,6.8,26,4.1
Tennessee Titans,4,21.7,7,21.1,4,27.4,15,7.9,29,6.6,31,2.4
Washington Commanders,30,16.7,27,15.3,30,19.8,22,7.2,18,7.8,6,8.3
